YEAR   CanESM5   CNRM-ESM2-1   IPSL-CM6A-LR   MIROC-ES2L   UKESM1-0-LL 
2054.00 289.0700 288.2550 288.1800 289.7360 288.7120 
2055.00 289.0360 288.3050 288.1020 289.5460 288.8030 
2056.00 289.0410 288.3440 288.1630 289.4200 288.8830 
2057.00 289.0760 288.3320 288.2060 289.5400 288.8210 
2058.00 289.0910 288.3610 288.1200 289.6430 288.7090 
2059.00 289.0490 288.2970 288.0810 289.7750 288.7560 
2060.00 289.0660 288.3790 288.1260 289.4570 288.8000 
2061.00 289.0130 288.3100 288.0570 289.3980 288.7450 
2062.00 289.0290 288.2840 288.0340 289.6220 288.7610 
2063.00 289.0180 288.3290 288.0010 289.7900 288.7810 
2064.00 289.0340 288.2880 288.0900 289.4180 288.8420 
2065.00 289.0500 288.2980 288.0690 289.2890 288.8230 
2066.00 289.0220 288.2810 288.0350 289.3830 288.8490 
2067.00 288.9940 288.3840 288.0070 289.7210 288.7940 
2068.00 289.0130 288.3850 287.9540 289.6840 288.8640 
2069.00 289.0110 288.3560 287.9850 289.3730 288.8820 
2070.00 288.9950 288.3740 287.9840 289.2850 288.7770 
2071.00 289.0560 288.3790 288.0160 289.3490 288.7380 
2072.00 289.0130 288.3530 288.0160 289.5580 288.6590 
2073.00 288.9870 288.3510 288.0300 289.7800 288.6830 
2074.00 288.9510 288.3450 287.9710 289.3690 288.7980 
2075.00 288.9610 288.4000 287.8890 289.3060 288.8000 
2076.00 288.9550 288.3840 287.9890 289.4200 288.7390 
2077.00 288.9690 288.4070 287.8700 289.5480 288.7410 
2078.00 288.9540 288.4000 287.8210 289.6640 288.7740 
2079.00 288.9550 288.3810 287.8750 289.2730 288.7890 
2080.00 288.9170 288.4190 287.8740 289.1300 288.7690 
2081.00 288.9170 288.3500 287.8410 289.2930 288.7350 
2082.00 288.9070 288.4010 287.8090 289.5830 288.8250 
2083.00 288.8800 288.3470 287.9300 289.4760 288.8550 
2084.00 288.8960 288.3750 287.9610 289.3310 288.8110 
2085.00 288.8890 288.4120 287.8400 289.2520 288.7360 
2086.00 288.8340 288.3700 287.7500 289.6090 288.7610 
2087.00 288.8690 288.4110 287.8160 289.5110 288.7370 
2088.00 288.8740 288.3900 287.8770 289.1920 288.7260 
2089.00 288.8620 288.3860 287.7060 289.2640 288.7670 
2090.00 288.8390 288.3210 287.6750 289.5370 288.7120 
2091.00 288.7740 288.4050 287.7910 289.7350 288.7140 
2092.00 288.7700 288.3350 287.6820 289.4200 288.6670 
2093.00 288.8070 288.3540 287.7130 289.2570 288.7270 
2094.00 288.8190 288.3730 287.7890 289.3640 288.7750 
2095.00 288.8300 288.3710 287.7600 289.5000 288.7570 
2096.00 288.8000 288.3670 287.6600 289.5480 288.7790 
2097.00 288.7330 288.3320 287.7180 289.1920 288.7320 
2098.00 288.7200 288.3280 287.7760 289.1550 288.7390 
2099.00 288.7440 288.3500 287.7880 289.3580 288.6970 
2100.00 288.7430 288.4090 287.7120 289.6410 288.7160 
