YEAR  ACCESS-ESM1.5  CanESM5  CESM2  CNRM-ESM2-1  IPSL-CM6A-LR  MIROC-ES2L  MPI-ESM1.2-LR  NorESM2-LM  UKESM1-0-LL 
2003.00 288.3550 287.8920 287.9920 287.3130 286.9820 288.8550 287.5700 288.1190 287.1710  
2004.00 288.4930 287.8940 288.0440 287.3360 287.0160 288.8500 287.5690 288.0680 287.1790  
2005.00 288.4620 287.8660 288.0970 287.3370 287.0430 288.8440 287.6110 287.9420 287.1770  
2006.00 288.3800 287.8980 288.1640 287.3540 287.0680 288.8190 287.6220 287.9590 287.1930  
2007.00 288.3900 287.8990 288.2260 287.4420 287.0560 288.8990 287.5950 288.1620 287.2600  
2008.00 288.4280 287.9720 288.1500 287.4670 287.0790 288.9180 287.6110 288.2680 287.3040  
2009.00 288.3780 288.0220 288.1880 287.4340 287.1510 288.8730 287.6310 288.1890 287.3070  
2010.00 288.4540 288.0800 288.2850 287.4480 287.1670 288.9100 287.6860 288.2120 287.3820  
2011.00 288.5470 288.1290 288.2930 287.4900 287.2100 288.9410 287.7250 288.2130 287.4610  
2012.00 288.5820 288.1810 288.2290 287.5010 287.1870 289.0040 287.7320 288.2210 287.4640  
2013.00 288.6100 288.2280 288.2690 287.5530 287.2270 288.9730 287.7340 288.2840 287.5270  
2014.00 288.6440 288.2900 288.3570 287.4630 287.2760 288.9570 287.7140 288.3910 287.5980  
2015.00 288.6800 288.3950 288.4360 287.5430 287.3750 289.2260 287.6790 288.3930 287.6190  
2016.00 288.7300 288.3860 288.3530 287.6880 287.3210 288.8300 287.7300 288.4130 287.6860  
2017.00 288.7290 288.4160 288.4020 287.6010 287.3600 288.9260 287.7950 288.5460 287.7450  
2018.00 288.7310 288.4690 288.3880 287.6830 287.4160 289.1340 287.8150 288.6680 287.7180  
2019.00 288.8410 288.5290 288.2810 287.6590 287.4240 289.1860 287.7600 288.5980 287.8100  
2020.00 288.8850 288.5840 288.2770 287.6460 287.4500 289.2220 287.8300 288.5820 287.8670  
2021.00 288.9710 288.6550 288.2790 287.6860 287.5160 289.2890 287.8590 288.6830 287.7900  
2022.00 288.8410 288.7210 288.4150 287.6590 287.5530 289.2790 287.8190 288.5770 287.8350  
2023.00 288.8500 288.7300 288.5330 287.7030 287.5740 289.4450 287.8910 288.2830 287.8940  
2024.00 289.0100 288.7520 288.5760 287.7140 287.6010 289.4290 287.8990 288.0880 288.1080  
2025.00 288.9310 288.8540 288.5320 287.8750 287.6390 289.1850 287.9300 288.1720 288.1970  
2026.00 288.9610 288.9030 288.5540 287.9320 287.6610 289.2590 287.9610 288.4970 288.1540  
2027.00 288.9760 288.9430 288.7070 287.8930 287.6970 289.3790 287.9880 288.8390 288.1530  
2028.00 289.0740 288.9150 288.6390 287.9110 287.7730 289.6350 288.0610 288.7650 288.1960  
2029.00 289.0860 288.9880 288.5670 287.8170 287.7950 289.3560 287.9750 288.4980 288.3310  
2030.00 289.0500 289.0000 288.6790 288.0360 287.7060 289.2330 287.9570 288.4050 288.4280  
2031.00 289.0940 289.0880 288.7280 287.9970 287.8200 289.3820 288.0650 288.5900 288.4690  
2032.00 289.1180 289.1640 288.6760 287.9850 287.9750 289.7730 288.1480 288.6750 288.4870  
2033.00 289.2280 289.2160 288.7030 288.1350 287.9640 289.5530 288.1380 288.8650 288.4110  
2034.00 289.2670 289.2010 288.7340 288.1810 287.9150 289.2080 288.1200 289.1390 288.5370  
2035.00 289.2500 289.2700 288.8040 288.1440 287.9900 289.3960 288.1850 288.9320 288.7020  
2036.00 289.3010 289.3280 288.9220 288.2790 288.0440 289.7460 288.2210 288.6560 288.7810  
2037.00 289.4470 289.3780 289.0150 288.3110 288.0680 289.8030 288.2600 288.6960 288.8040  
2038.00 289.4570 289.4590 288.9540 288.3340 288.1080 289.7180 288.3180 288.7320 288.8450  
2039.00 289.3910 289.4960 288.8440 288.2470 288.2290 289.5610 288.4130 288.7060 288.9340  
2040.00 289.3200 289.5550 288.9500 288.4040 288.2970 289.6150 288.3290 288.7520 289.0080  
2041.00 289.3950 289.5940 288.9710 288.3670 288.2910 289.8080 288.3810 288.9120 289.0330  
2042.00 289.4630 289.6440 289.0250 288.5050 288.2790 289.9700 288.3230 289.1130 289.0530  
2043.00 289.5130 289.6860 289.1980 288.5160 288.3030 289.6610 288.3830 289.1020 289.0800  
2044.00 289.5130 289.7740 289.2530 288.4890 288.3590 289.7010 288.4590 288.9440 289.1460  
2045.00 289.3960 289.8230 289.2370 288.5960 288.4510 289.9120 288.5170 288.8630 289.2220  
2046.00 289.5240 289.8910 289.3170 288.5760 288.5090 290.2120 288.6090 288.7840 289.2320  
2047.00 289.6850 289.9470 289.2400 288.5930 288.5130 289.8530 288.5610 288.8750 289.3120  
2048.00 289.7580 289.9920 289.2840 288.6340 288.5900 289.7420 288.6230 289.1030 289.3540  
2049.00 289.8120 290.0770 289.2990 288.8330 288.6660 289.9650 288.6710 289.2840 289.3620  
2050.00 289.8130 290.1670 289.4850 288.7270 288.6600 290.2190 288.6050 289.2380 289.4900  
2051.00 289.9580 290.2090 289.5220 288.8680 288.7660 290.0130 288.6250 289.0340 289.5130  
2052.00 290.0500 290.2150 289.4450 288.9100 288.8240 289.7710 288.6790 289.1050 289.6050  
2053.00 290.0960 290.2820 289.6020 288.9560 288.8260 289.9540 288.7110 289.2380 289.6310  
2054.00 290.0580 290.3390 289.6130 288.9760 288.8560 290.1590 288.7310 289.2460 289.6700  
2055.00 290.0800 290.3770 289.6030 288.9450 288.8340 290.4570 288.8510 289.2720 289.7440  
2056.00 290.1440 290.4300 289.7530 288.9810 288.9270 290.2950 288.8030 289.3400 289.7720  
2057.00 290.2060 290.5750 289.6900 289.0540 289.0570 290.2080 288.8340 289.3880 289.8660  
2058.00 290.2710 290.6410 289.6710 289.2300 289.0910 290.3920 288.8720 289.5820 289.9450  
2059.00 290.2220 290.6780 289.8510 289.2230 289.0620 290.6290 289.0100 289.1920 290.0080  
2060.00 290.3650 290.7500 289.8550 289.2490 289.1330 290.3360 289.0100 289.2620 290.0410  
2061.00 290.3590 290.8070 289.7730 289.3660 289.1460 290.1760 288.9870 289.4160 290.0930  
2062.00 290.4250 290.7900 289.9610 289.4430 289.1970 290.3650 289.0000 289.5050 290.1440  
2063.00 290.4520 290.8180 289.9810 289.4500 289.2740 290.5090 289.0340 289.2720 290.1210  
2064.00 290.4170 290.9520 289.8600 289.4310 289.3050 290.2210 288.9810 289.2760 290.3140  
2065.00 290.5450 291.0070 289.9920 289.4400 289.3660 290.2220 289.0120 289.5340 290.4270  
2066.00 290.6280 291.0420 290.0440 289.6670 289.4560 290.5700 289.2090 289.8260 290.3300  
2067.00 290.6720 291.1270 290.0300 289.5750 289.4880 290.7760 289.3020 289.6720 290.3860  
2068.00 290.7030 291.2060 290.0060 289.6330 289.6150 290.4960 289.1880 289.7060 290.5390  
2069.00 290.6560 291.2550 290.1130 289.7220 289.6810 290.4250 289.1900 289.7870 290.6660  
2070.00 290.7390 291.3080 290.1780 289.6630 289.5740 290.6560 289.2930 289.7660 290.6970  
2071.00 290.6710 291.3280 290.2340 289.8660 289.7030 290.9770 289.4160 289.8790 290.7790  
2072.00 290.8000 291.4020 290.3270 289.8980 289.8390 290.6190 289.3770 289.8990 290.8620  
2073.00 290.8850 291.5210 290.3290 289.9410 289.8180 290.5560 289.4650 289.8150 290.8710  
2074.00 290.9090 291.5780 290.3840 290.0210 289.9160 290.6840 289.4930 289.7400 290.9550  
2075.00 290.8800 291.5940 290.4390 290.1280 289.9890 290.9110 289.4720 289.9380 291.0500  
2076.00 290.9000 291.6530 290.3810 290.0710 290.0580 291.0900 289.4910 289.7730 291.1000  
2077.00 290.9850 291.7480 290.5550 290.1600 290.0720 290.7710 289.4800 289.5900 291.1270  
2078.00 291.0410 291.8150 290.5880 290.2370 290.1780 290.6540 289.5650 289.7520 291.2110  
2079.00 291.1130 291.8830 290.6380 290.2110 290.1820 290.8610 289.6490 290.0220 291.2250  
